"ARVI","ARVI_INTP","B","CMRI","CMRI_INTP","CVI","CVI_INTP","EVI_INTP","EVI_RMSE","G","GLI","GLI_INTP","IPVI","IPVI_INTP","MCARI1","MCARI1_INTP","MCARI2","MCARI2_INTP","N","NDTI","NDTI_INTP","NDVI","NDVI_INTP","NDWI","NDWI_INTP","NLI","NLI_INTP","N_INTP","OSAVI","OSAVI_INTP","R","R_INTP","TDVI","TDVI_INTP","TVI","TVI_INTP","TriVI","TriVI_INTP","WDRVI","WDRVI_INTP","landcover","cv_fold_id","repeat_cv_id"
0.73753816,0.72052693,0.0387,1.2975934,1.2629583,2.71662958579882,2.6120791,2.2864954,0.34818918,0.065,0.217798594847775,0.2147798,0.8511628,0.8431844,3359.28,3475.5845,0.81957480541067,0.81251097,0.2562,-0.18397085,-0.18336292,0.7023256,0.6863688,-0.5952678,-0.5765894,0.9998635,0.99985677,0.26668334,0.702288250458447,0.68633395,0.0448,0.049229167,1.23766263471452,1.2197446,1.0965060790508,1.0890143,134920,140021.52,-0.272365805168986,-0.2944748,"mangrove",4,34
0.7637059,0.7409054,0.0278,1.3439527,1.2989564,2.7522701765126,2.9443722,2.1610544,0.22141387,0.0495,0.242937853107345,0.2055416,0.8645833,0.8481153,2785.2,2814.5938,0.839014546779726,0.8056245,0.2075,-0.20731707,-0.16197799,0.7291667,0.6962306,-0.61478597,-0.60272574,0.999849,0.9998285,0.21714167,0.72911805879608,0.696185,0.0325,0.0390625,1.26501242516911,1.2305459,1.10867789130417,1.0936041,111800,117149.46,-0.220657276995305,-0.27954575,"mangrove",5,34
0.7830296,0.7337089,0.0381,1.4082156,1.3050956,3.15295498009072,2.9246783,2.332313,0.32057548,0.0658,0.233942803563057,0.20603108,0.87776846,0.85102576,4227.12,3695.643,0.843870150585765,0.8126703,0.3131,-0.20292504,-0.1745657,0.75553685,0.7020516,-0.6526788,-0.60304403,0.99991107,0.99986714,0.2833,0.7555029771583,0.70201755,0.0436,0.0486,1.29109230402737,1.2348266,1.12050741439469,1.0959893,170580,148899.53,-0.164063542918168,-0.26068085,"mangrove",2,34
0.7760376,0.7372431,0.0286,1.3900126,1.303192,2.78813767024964,2.9824998,2.240791,0.39475456,0.0507,0.254950495049505,0.20224153,0.877709,0.84891605,3108.84,3216.8137,0.856805551980951,0.8049874,0.2268,-0.23207776,-0.16355547,0.75541794,0.6978321,-0.6345946,-0.6053599,0.99987715,0.99985427,0.2492375,0.755371184446784,0.69779384,0.0316,0.044370834,1.29096557499639,1.2311251,1.12045435277674,1.0941656,124760,132449.78,-0.164333087693441,-0.2703932,"mangrove",4,34
0.795976,0.75836116,0.0289,1.4080724,1.3313713,3.01368445418772,2.8598418,2.207751,0.18563536,0.0542,0.25973271353864,0.23063876,0.87966806,0.8594129,3464.88,3324.0583,0.851320329252678,0.82747984,0.2544,-0.21797752,-0.1906072,0.7593361,0.7188258,-0.64873624,-0.61254543,0.9998925,0.9998663,0.25056666,0.759294091613189,0.71878606,0.0348,0.040683333,1.29477646074356,1.2540314,1.12220145231819,1.1039184,139520,132818.78,-0.155378486055777,-0.2378115,"mangrove",5,34
0.7780612,0.7417568,0.0348,1.3967738,1.3084335,2.87327523602033,2.824959,2.2463162,0.21657297,0.0612,0.250255362614913,0.21567385,0.8783869,0.85271764,3811.44,3428.9565,0.85450496872235,0.8168464,0.2788,-0.2264529,-0.18055235,0.75677377,0.70543534,-0.64,-0.6029982,0.9999007,0.99986684,0.26245832,0.756735640295385,0.7053984,0.0386,0.0454875,1.29229211835985,1.239668,1.12105922547363,1.0977381,153160,137033.03,-0.161251504211793,-0.26093286,"mangrove",1,34
0.73790735,0.6980773,0.0382,1.2791843,1.1944326,2.79717131389496,2.5697882,2.0499358,0.27738222,0.0651,0.21003717472119,0.194682,0.84405196,0.82248867,3259.08,2991.5725,0.804232828652633,0.77778006,0.2533,-0.16353887,-0.15025313,0.688104,0.6449774,-0.5910804,-0.54945517,0.99985415,0.99981284,0.24419583,0.688067280651481,0.64494205,0.0468,0.051954165,1.22281362698315,1.1742915,1.09000181896403,1.069747,131220,118290.77,-0.297657008179676,-0.35979548,"mangrove",4,34
0.7731239,0.7452958,0.0325,1.3570247,1.2859963,2.92427496530061,2.728389,2.0949209,0.2624411,0.0585,0.238750661725781,0.23332913,0.86571234,0.8477164,3388.2,3424.1816,0.833791088466286,0.811472,0.254,-0.19509704,-0.18486378,0.7314247,0.6954327,-0.6256,-0.59056354,0.99987787,0.9998559,0.26320416,0.731384791558743,0.69539636,0.0394,0.0471625,1.26728408953353,1.2265743,1.10969575839955,1.0927639,136400,139090.89,-0.216049382716049,-0.26785764,"mangrove",1,34
0.75330114,0.7339508,0.0383,1.3157623,1.2897118,2.80373401614529,2.769311,2.2492683,0.27182463,0.0669,0.226397800183318,0.22174224,0.8551681,0.84871674,3580.32,3768.5088,0.822153370815913,0.81340545,0.2722,-0.1840708,-0.18633492,0.71033615,0.6974335,-0.60542613,-0.5922784,0.99987555,0.99986565,0.27976668,0.710300456150492,0.69739944,0.0461,0.049241666,1.24592005225128,1.2287894,1.10015278977719,1.0936885,143980,155421.5,-0.257501363884343,-0.2612183,"mangrove",3,34
0.7385483,0.6936827,0.0371,1.3358783,1.2145959,2.88801849759461,2.5388305,2.3002481,0.34149697,0.0586,0.205141388174807,0.19681394,0.8598815,0.8296424,3260.64,2949.2424,0.826146059663849,0.79227483,0.2467,-0.18623482,-0.16674387,0.719763,0.6592848,-0.6161153,-0.5553111,0.9998679,0.99981296,0.22747916,0.71972284571094,0.65924597,0.0402,0.046433333,1.25553205487982,1.189314,1.1044288042323,1.0763105,131260,122327.75,-0.239401880684446,-0.336347,"mangrove",3,34
0.70885026,0.6524408,0.0352,1.2263088,1.0938491,2.56985869866753,2.230233,2.0130105,0.3563284,0.0579,0.201868188894655,0.18817078,0.832058,0.79873145,2627.28,2392.695,0.794890512838378,0.7531325,0.2066,-0.1626506,-0.14700027,0.66411597,0.5974629,-0.5621928,-0.4963862,0.9998046,0.99974066,0.19874583,0.664073197055365,0.597424,0.0417,0.050420832,1.19718249702335,1.1187125,1.07894206921564,1.0471252,105420,98110.36,-0.337395766516998,-0.42369992,"mangrove",3,34
0.7584098,0.7256817,0.0316,1.3243567,1.26371,2.89264815128569,2.7830977,2.1308951,0.19057065,0.0554,0.224309392265193,0.20199308,0.8562919,0.83970356,3018.24,2992.438,0.820261162800606,0.79723704,0.23,-0.17872341,-0.15953751,0.7125838,0.6794071,-0.61177295,-0.58430284,0.9998541,0.9998348,0.23467083,0.712541322929386,0.67936784,0.0386,0.044808332,1.24821527160767,1.2126138,1.10117381356636,1.0858529,121560,120631.1,-0.253246753246753,-0.30781332,"mangrove",2,34
0.7325419,0.70124537,0.0383,1.2950236,1.2114195,2.70818979330236,2.7494097,2.0918517,0.27352762,0.0632,0.213634181469035,0.2005424,0.85053134,0.8259041,3250.56,2939.7434,0.818944142497786,0.77723885,0.2481,-0.1835206,-0.15246809,0.70106274,0.65180814,-0.5939608,-0.5596114,0.9998583,0.9998123,0.235725,0.701024283892553,0.6517711,0.0436,0.049770832,1.23635277781268,1.1786351,1.09593007791891,1.072452,130540,118590.36,-0.274667446279784,-0.33356515,"mangrove",4,34
0.78746593,0.7347577,0.0351,1.4007304,1.280807,2.95690890255461,2.8062437,2.148458,0.35448408,0.0639,0.254170755642787,0.21700694,0.87831,0.8451708,4020.72,3634.847,0.851341185878556,0.80395377,0.2952,-0.21946564,-0.17536585,0.75662005,0.69034165,-0.64411026,-0.5904653,0.9999061,0.99984473,0.27940416,0.756584036463602,0.690308,0.0409,0.0495375,1.29214443706974,1.2185717,1.12099065721151,1.0900583,161780,145746.36,-0.161601817665436,-0.273596,"mangrove",4,34
0.8196721,0.7991948,0.0308,1.4649733,1.4215865,3.57858376511226,3.2226813,2.2318041,0.17092672,0.0579,0.250539956803456,0.25214127,0.8895249,0.8810492,4220.76,4101.0786,0.848836501505859,0.8466912,0.3108,-0.2,-0.20836449,0.7790498,0.76209843,-0.6859235,-0.65948814,0.99992007,0.99990916,0.30194584,0.779014126428097,0.76206267,0.0386,0.0406125,1.31368028265008,1.2968639,1.13095083874435,1.1233368,171040,168384.47,-0.107921928817451,-0.1437023,"mangrove",5,34
0.77826405,0.74232674,0.0304,1.3908674,1.2958752,3.12817157975394,2.737743,2.1798205,0.18474591,0.0526,0.22969023962595,0.22824147,0.87289655,0.85043365,3266.28,2997.0078,0.83742013905874,0.81547076,0.2438,-0.19409762,-0.18757583,0.74579304,0.70086724,-0.64507425,-0.5950079,0.99988055,0.99983567,0.2287,0.745750332956222,0.7008252,0.0355,0.0397375,1.28154494108404,1.2324992,1.11615099966973,1.0952916,131820,122519.34,-0.185704742818971,-0.26035172,"mangrove",2,34
0.7438146,0.7106169,0.0409,1.3430797,1.2705928,2.98096158366196,2.6258798,2.5543375,1.114313,0.0649,0.202965708989805,0.20462957,0.8605873,0.8447228,3668.4,3507.834,0.823617804663308,0.8116547,0.2784,-0.18,-0.18762293,0.72117466,0.68944556,-0.621905,-0.5811473,0.99988365,0.9998565,0.26625833,0.72113898539794,0.68941027,0.0451,0.048716668,1.25696769972427,1.2213099,1.10506771387147,1.0901673,147900,144039.19,-0.236632848916918,-0.27962038,"mangrove",4,34
