Classifier_Type,CV_ID,Fold,Accuracy,F1_Score,AUC,Precision,Recall,logloss
Stacking-RF-PT-Isotonic,88,1,0.972477064220184,0.967032967032967,0.978380233356212,1,0.936170212765958,0.674010888219466
Stacking-RF-PT-Isotonic,88,2,0.945945945945946,0.943396226415094,0.959015059015059,0.934579439252336,0.952380952380952,1.47967218497422
Stacking-RF-PT-Isotonic,88,3,0.960591133004926,0.955056179775281,0.974029174058742,0.955056179775281,0.955056179775281,0.91633554644966
Stacking-RF-PT-Isotonic,88,4,0.92511013215859,0.928270042194093,0.93871975019516,0.956521739130435,0.901639344262295,2.2483812780175
Stacking-RF-PT-Isotonic,88,5,0.973958333333333,0.973821989528796,0.983342376559957,0.96875,0.978947368421053,0.583504946729986
Stacking-RF-PT-Isotonic,89,1,0.949579831932773,0.938775510204082,0.971453287197232,0.978723404255319,0.901960784313726,0.945922031623728
Stacking-RF-PT-Isotonic,89,2,0.935483870967742,0.941666666666667,0.94645334720777,0.974137931034483,0.911290322580645,2.00750764613554
Stacking-RF-PT-Isotonic,89,3,0.957943925233645,0.958904109589041,0.965892217660931,0.9375,0.981308411214953,1.21086842400999
Stacking-RF-PT-Isotonic,89,4,0.978723404255319,0.967213114754098,0.975619047619048,1,0.936507936507937,0.591328914640464
Stacking-RF-PT-Isotonic,89,5,0.980487804878049,0.981981981981982,0.978975535168196,0.964601769911504,1,0.703942170483381
Stacking-RF-PT-Isotonic,90,1,0.960591133004926,0.955056179775281,0.968263355016755,0.955056179775281,0.955056179775281,1.09508853688163
Stacking-RF-PT-Isotonic,90,2,0.970873786407767,0.964285714285714,0.976721723172027,1,0.931034482758621,0.714732448306603
Stacking-RF-PT-Isotonic,90,3,0.945,0.936416184971098,0.977575757575758,0.975903614457831,0.9,0.765921991951841
Stacking-RF-PT-Isotonic,90,4,0.964426877470356,0.968421052631579,0.969565217391304,0.938775510204082,1,1.00947279121414
Stacking-RF-PT-Isotonic,90,5,0.93,0.927835051546392,0.943294329432943,0.967741935483871,0.891089108910891,2.02654933484465
Stacking-RF-PT-Isotonic,91,1,0.951690821256039,0.921875,0.971014492753623,1,0.855072463768116,0.737176341757998
Stacking-RF-PT-Isotonic,91,2,0.990697674418605,0.990990990990991,0.99038961038961,0.982142857142857,1,0.339838563158669
Stacking-RF-PT-Isotonic,91,3,0.916299559471366,0.9272030651341,0.930689928628073,0.923664122137405,0.930769230769231,2.40365440251771
Stacking-RF-PT-Isotonic,91,4,0.958677685950413,0.955357142857143,0.974000137202442,0.963963963963964,0.946902654867257,0.916157243808143
Stacking-RF-PT-Isotonic,91,5,0.947368421052632,0.946107784431138,0.957420591456736,0.940476190476191,0.951807228915663,1.4963445532704
Stacking-RF-PT-Isotonic,92,1,0.960869565217391,0.956937799043062,0.963675213675214,0.952380952380952,0.961538461538462,1.26617957000266
Stacking-RF-PT-Isotonic,92,2,0.952173913043478,0.946859903381643,0.976757455873402,0.97029702970297,0.924528301886793,0.817231138779456
Stacking-RF-PT-Isotonic,92,3,0.978494623655914,0.970149253731343,0.977641521119782,1,0.942028985507246,0.609880250475194
Stacking-RF-PT-Isotonic,92,4,0.990697674418605,0.990990990990991,0.995151515151515,0.982142857142857,1,0.183718956606831
Stacking-RF-PT-Isotonic,92,5,0.90547263681592,0.91703056768559,0.920334685598377,0.929203539823009,0.905172413793103,2.71491710232362
Stacking-RF-PT-Isotonic,93,1,0.966507177033493,0.941176470588235,0.968253968253968,1,0.888888888888889,0.720452775215913
Stacking-RF-PT-Isotonic,93,2,0.940092165898618,0.946058091286307,0.953780783905654,0.974358974358974,0.919354838709677,1.69163865879455
Stacking-RF-PT-Isotonic,93,3,0.936936936936937,0.942148760330579,0.961613532856213,0.904761904761905,0.982758620689655,1.33248192383503
Stacking-RF-PT-Isotonic,93,4,0.982062780269058,0.982758620689655,0.981329470465154,0.966101694915254,1,0.650472779821297
Stacking-RF-PT-Isotonic,93,5,0.952879581151833,0.947368421052632,0.966295233892321,0.975903614457831,0.920454545454545,1.15305773565926
Stacking-RF-PT-Isotonic,94,1,0.978494623655914,0.979591836734694,0.977777777777778,0.96,1,0.784438585599
Stacking-RF-PT-Isotonic,94,2,0.960591133004926,0.949367088607595,0.979204614450516,0.974025974025974,0.925925925925926,0.593408049947939
Stacking-RF-PT-Isotonic,94,3,0.937743190661479,0.938931297709924,0.941602960805728,0.9609375,0.917910447761194,2.11304931186461
Stacking-RF-PT-Isotonic,94,4,0.968888888888889,0.970212765957447,0.972477064220184,0.957983193277311,0.982758620689655,0.967568620424498
Stacking-RF-PT-Isotonic,94,5,0.952879581151833,0.939597315436242,0.974699341955979,0.985915492957747,0.897435897435898,0.794327340886018
Stacking-RF-PT-Isotonic,95,1,0.947643979057592,0.941176470588235,0.965909090909091,0.975609756097561,0.909090909090909,1.16025007078375
Stacking-RF-PT-Isotonic,95,2,0.972093023255814,0.96551724137931,0.982062376059131,0.954545454545455,0.976744186046512,0.68457377589383
Stacking-RF-PT-Isotonic,95,3,0.974025974025974,0.976,0.976663655525444,0.960629921259843,0.991869918699187,0.790503939077669
Stacking-RF-PT-Isotonic,95,4,0.91701244813278,0.898989898989899,0.924982529699511,0.967391304347826,0.839622641509434,2.42384699843125
Stacking-RF-PT-Isotonic,95,5,0.972826086956522,0.976076555023923,0.981468197034912,0.953271028037383,1,0.610679975743364
Stacking-RF-PT-Isotonic,96,1,0.933628318584071,0.933333333333333,0.944222483352918,0.954545454545455,0.91304347826087,1.94929345059026
Stacking-RF-PT-Isotonic,96,2,0.970873786407767,0.964285714285714,0.976431952091181,1,0.931034482758621,0.715775879297428
Stacking-RF-PT-Isotonic,96,3,0.980487804878049,0.981981981981982,0.978975535168196,0.964601769911504,1,0.704694125019124
Stacking-RF-PT-Isotonic,96,4,0.955665024630542,0.949720670391062,0.973881332544845,0.944444444444444,0.955056179775281,0.927741767896351
Stacking-RF-PT-Isotonic,96,5,0.95045045045045,0.947867298578199,0.962474562474563,0.943396226415094,0.952380952380952,1.32783180474892
Stacking-RF-PT-Isotonic,97,1,0.964467005076142,0.94488188976378,0.969234328012954,0.983606557377049,0.909090909090909,0.756365218347657
Stacking-RF-PT-Isotonic,97,2,1,1,1,1,1,0.00824334288046827
Stacking-RF-PT-Isotonic,97,3,0.962809917355372,0.959641255605381,0.974103039034095,0.972727272727273,0.946902654867257,0.912768328760419
Stacking-RF-PT-Isotonic,97,4,0.91005291005291,0.921658986175115,0.921387614678899,0.925925925925926,0.917431192660551,2.71204599481889
Stacking-RF-PT-Isotonic,97,5,0.964143426294821,0.966037735849057,0.978575969485061,0.948148148148148,0.984615384615385,0.757617598653074
Stacking-RF-PT-Isotonic,98,1,0.941176470588235,0.941176470588235,0.953125,0.923076923076923,0.96,1.61879969336277
Stacking-RF-PT-Isotonic,98,2,0.983870967741936,0.981366459627329,0.990330188679245,0.975308641975309,0.9875,0.393985103476918
Stacking-RF-PT-Isotonic,98,3,0.970873786407767,0.964285714285714,0.982275668888245,1,0.931034482758621,0.548843275292273
Stacking-RF-PT-Isotonic,98,4,0.903553299492386,0.9064039408867,0.936139332365748,0.948453608247423,0.867924528301887,2.24648059571191
Stacking-RF-PT-Isotonic,98,5,0.95910780669145,0.958801498127341,0.96969696969697,0.948148148148148,0.96969696969697,1.08787562955207
Stacking-RF-PT-Isotonic,99,1,0.967592592592593,0.958083832335329,0.974449932644814,0.975609756097561,0.941176470588235,0.849152500292298
Stacking-RF-PT-Isotonic,99,2,0.955665024630542,0.945454545454545,0.964955134596211,0.975,0.917647058823529,1.08978152889531
Stacking-RF-PT-Isotonic,99,3,0.983870967741936,0.984615384615385,0.983333333333333,0.96969696969697,1,0.592922530188071
Stacking-RF-PT-Isotonic,99,4,0.964143426294821,0.966037735849057,0.970883661792753,0.948148148148148,0.984615384615385,1.02083673007668
Stacking-RF-PT-Isotonic,99,5,0.912621359223301,0.913461538461538,0.931996595100728,0.95959595959596,0.871559633027523,2.48301112384115
Stacking-RF-PT-Isotonic,100,1,0.960869565217391,0.956937799043062,0.972839318320146,0.970873786407767,0.943396226415094,0.957064296127535
Stacking-RF-PT-Isotonic,100,2,0.907766990291262,0.908212560386474,0.935968977584413,0.959183673469388,0.862385321100918,2.32448290931794
Stacking-RF-PT-Isotonic,100,3,0.963800904977376,0.961165048543689,0.981353135313531,0.942857142857143,0.98019801980198,0.680534997666483
Stacking-RF-PT-Isotonic,100,4,0.98974358974359,0.991071428571429,0.987987987987988,0.982300884955752,1,0.37528814498064
Stacking-RF-PT-Isotonic,100,5,0.966666666666667,0.954838709677419,0.968434343434344,0.961038961038961,0.948717948717949,1.04261794204042
Stacking-RF-PT-Platt,1,1,0.966666666666667,0.954838709677419,0.983537296037296,0.961038961038961,0.948717948717949,0.212254550998393
Stacking-RF-PT-Platt,1,2,0.980952380952381,0.979591836734694,0.996487546756683,0.96969696969697,0.989690721649485,0.0996028373329324
Stacking-RF-PT-Platt,1,3,0.923857868020305,0.927536231884058,0.971957287995024,0.950495049504951,0.905660377358491,0.51662444888067
Stacking-RF-PT-Platt,1,4,0.967136150234742,0.968325791855204,0.99219301340861,0.955357142857143,0.981651376146789,0.161233957317867
Stacking-RF-PT-Platt,1,5,0.969827586206897,0.96943231441048,0.99568933481977,0.973684210526316,0.965217391304348,0.12152593869765
Stacking-RF-PT-Platt,2,1,0.945255474452555,0.921465968586387,0.989227086183311,0.98876404494382,0.862745098039216,0.401725721966049
Stacking-RF-PT-Platt,2,2,0.975124378109453,0.974619289340102,0.9963839904894,0.96969696969697,0.979591836734694,0.105273386902036
Stacking-RF-PT-Platt,2,3,0.951086956521739,0.953846153846154,0.983323477232407,0.93,0.978947368421053,0.266134410285018
Stacking-RF-PT-Platt,2,4,0.985294117647059,0.986547085201794,0.998355899419729,0.973451327433628,1,0.053935612846103
Stacking-RF-PT-Platt,2,5,0.92964824120603,0.927835051546392,0.972474747474748,0.957446808510638,0.9,0.551314190093675
Stacking-RF-PT-Platt,3,1,0.971698113207547,0.972972972972973,0.994652406417112,0.964285714285714,0.981818181818182,0.12392757589948
Stacking-RF-PT-Platt,3,2,0.980487804878049,0.981981981981982,0.99641628440367,0.964601769911504,1,0.0955288616193266
Stacking-RF-PT-Platt,3,3,0.940909090909091,0.932642487046632,0.982166666666667,0.967741935483871,0.9,0.460435984194094
Stacking-RF-PT-Platt,3,4,0.962962962962963,0.956989247311828,0.983171605909608,0.956989247311828,0.956989247311828,0.227413410466626
Stacking-RF-PT-Platt,3,5,0.942583732057416,0.934065934065934,0.992213570634038,0.955056179775281,0.913978494623656,0.212515535121958
Stacking-RF-PT-Platt,4,1,0.980582524271845,0.976470588235294,0.992659132618565,1,0.954022988505747,0.159056920644088
Stacking-RF-PT-Platt,4,2,0.936363636363636,0.927083333333333,0.981666666666667,0.967391304347826,0.89,0.444335756924199
Stacking-RF-PT-Platt,4,3,0.968888888888889,0.970212765957447,0.992723821575451,0.957983193277311,0.982758620689655,0.145489972066645
Stacking-RF-PT-Platt,4,4,0.947368421052632,0.939890710382514,0.992955135335558,0.955555555555556,0.924731182795699,0.222480495787974
Stacking-RF-PT-Platt,4,5,0.955445544554455,0.960352422907489,0.985547992502713,0.923728813559322,1,0.201578044176441
Stacking-RF-PT-Platt,5,1,0.957627118644068,0.945054945054945,0.987998188405797,0.955555555555556,0.934782608695652,0.261846162426053
Stacking-RF-PT-Platt,5,2,0.955665024630542,0.946107784431138,0.994017946161515,0.963414634146341,0.929411764705882,0.155024408875301
Stacking-RF-PT-Platt,5,3,0.962162162162162,0.966507177033493,0.985619990570486,0.935185185185185,1,0.22485564637457
Stacking-RF-PT-Platt,5,4,0.920560747663551,0.925764192139738,0.966675494350283,0.954954954954955,0.898305084745763,0.49228235094524
Stacking-RF-PT-Platt,5,5,0.986607142857143,0.986425339366516,0.998843238930993,0.973214285714286,1,0.0462598345420217
Stacking-RF-PT-Platt,6,1,0.91044776119403,0.921739130434783,0.961257606490872,0.929824561403509,0.913793103448276,0.626711833225699
Stacking-RF-PT-Platt,6,2,0.955665024630542,0.949720670391062,0.989010447466982,0.944444444444444,0.955056179775281,0.186240617061825
Stacking-RF-PT-Platt,6,3,0.971311475409836,0.967441860465116,0.993191721132898,0.97196261682243,0.962962962962963,0.126451324644468
Stacking-RF-PT-Platt,6,4,0.989637305699482,0.988372093023256,0.99744008714597,0.977011494252874,1,0.0527007451059673
Stacking-RF-PT-Platt,6,5,0.950226244343891,0.948356807511737,0.989219544187572,0.952830188679245,0.94392523364486,0.192968226073254
Stacking-RF-PT-Platt,7,1,0.920560747663551,0.925764192139738,0.971486581920904,0.954954954954955,0.898305084745763,0.488698490590697
Stacking-RF-PT-Platt,7,2,0.96551724137931,0.958083832335329,0.994616151545364,0.975609756097561,0.941176470588235,0.159941944564094
Stacking-RF-PT-Platt,7,3,0.972222222222222,0.964285714285714,0.989672204759767,0.975903614457831,0.952941176470588,0.173854443079141
Stacking-RF-PT-Platt,7,4,0.985915492957747,0.987234042553192,0.9972004976893,0.974789915966387,1,0.0578111454026058
Stacking-RF-PT-Platt,7,5,0.958333333333333,0.956521739130435,0.987473095135601,0.933962264150943,0.98019801980198,0.241499832596194
Stacking-RF-PT-Platt,8,1,0.920560747663551,0.925764192139738,0.972987288135593,0.954954954954955,0.898305084745763,0.458889583023559
Stacking-RF-PT-Platt,8,2,0.968888888888889,0.970212765957447,0.99197247706422,0.957983193277311,0.982758620689655,0.151174014510638
Stacking-RF-PT-Platt,8,3,0.961722488038278,0.932203389830508,0.990595781691672,1,0.873015873015873,0.152308083712399
Stacking-RF-PT-Platt,8,4,0.967391304347826,0.971428571428571,0.992168818747011,0.944444444444444,1,0.125492270639259
Stacking-RF-PT-Platt,8,5,0.956521739130435,0.952380952380952,0.991859403530128,0.961538461538462,0.943396226415094,0.163389694286199
Stacking-RF-PT-Platt,9,1,0.960591133004926,0.949367088607595,0.990285367334548,0.974025974025974,0.925925925925926,0.201131720697626
Stacking-RF-PT-Platt,9,2,0.915343915343915,0.925925925925926,0.964334862385321,0.934579439252336,0.917431192660551,0.593254138791417
Stacking-RF-PT-Platt,9,3,0.958677685950413,0.955752212389381,0.993208479110928,0.955752212389381,0.955752212389381,0.155412726627071
Stacking-RF-PT-Platt,9,4,0.973118279569893,0.967741935483871,0.99314905278208,0.961538461538462,0.974025974025974,0.122927033550135
Stacking-RF-PT-Platt,9,5,0.987603305785124,0.988142292490119,0.997709401709402,0.9765625,1,0.0471669149111067
Stacking-RF-PT-Platt,10,1,0.92462311557789,0.923076923076923,0.976919191919192,0.947368421052632,0.9,0.51533975700225
Stacking-RF-PT-Platt,10,2,0.971014492753623,0.964705882352941,0.989188929463771,0.976190476190476,0.953488372093023,0.192076344318062
Stacking-RF-PT-Platt,10,3,0.990990990990991,0.991379310344828,0.998130841121495,0.982905982905983,1,0.0505192400409895
Stacking-RF-PT-Platt,10,4,0.962962962962963,0.962025316455696,0.987713820255227,0.942148760330579,0.982758620689655,0.306721083938541
