source,i1_mean,i2_mean,i3_mean,interp_std,knn_prob,logreg_prob,rf_prob,svc_prob,xgb_prob,models_std,stratum
cert,0.7,0.7,0.3,0.1885618083164127,1.0,0.9553843140602112,0.8799999952316284,0.9353589415550232,0.9800451397895813,0.04134232265095207,Consensus
cert,0.7,1.0,0.7,0.14142135623730995,1.0,0.9892619848251343,1.0,0.9790170192718506,0.9919711351394653,0.007797984802988963,Consensus
cert,0.7,0.7,0.7,1.2904784139758924e-08,0.9333333373069763,0.9918456077575684,1.0,0.9832145571708679,0.9955303072929382,0.024357916151529845,Consensus
cert,0.7,1.0,0.3,0.28674417556808773,1.0,0.9692395329475403,0.8700000047683716,0.9534640312194824,0.9670861959457397,0.043714822589140834,Consensus
cert,0.7,1.0,0.3,0.28674417556808773,1.0,0.9937524199485779,1.0,0.9854352474212646,0.9928091764450073,0.005404384633091591,Consensus
cert,0.7,0.7,0.3,0.1885618083164127,1.0,0.9988114237785339,1.0,0.9949270486831665,0.9938653111457825,0.002609548607171236,Consensus
cert,0.7,0.5,0.7,0.09428090415820635,0.0,0.02629074454307556,0.09000000357627869,0.033519163727760315,0.00864177942276001,0.031521519277162846,Consensus
cert,0.7,0.3,0.7,0.1885618083164127,0.20000000298023224,0.12578588724136353,0.019999999552965164,0.16072814166545868,0.047710031270980835,0.06767423567775385,Consensus
cert,1.0,1.0,0.7,0.14142135623730917,1.0,0.9828828573226929,1.0,0.9698172807693481,0.992811381816864,0.011505393973670976,Consensus
cert,1.0,1.0,0.3,0.32998316455372223,1.0,0.9841855764389038,1.0,0.9737206101417542,0.997459352016449,0.01047578337999272,Consensus
cert,1.0,0.7,0.7,0.14142135623730995,1.0,0.940624475479126,0.8199999928474426,0.9385718703269958,0.9051837921142578,0.0589677330304434,Consensus
cert,1.0,0.7,0.3,0.28674417556808773,1.0,0.9859233498573303,0.8899999856948853,0.9791626930236816,0.9902222156524658,0.040104976734550435,Consensus
cert,1.0,0.7,0.3,0.28674417556808773,1.0,0.9754175543785095,1.0,0.9484405517578125,0.9853677153587341,0.019124783883461925,Consensus
cert,1.0,1.0,0.0,0.4714045207910317,1.0,0.9958757758140564,0.9800000190734863,0.9898197054862976,0.9958076477050781,0.006954439657953079,Consensus
cert,1.0,1.0,0.5,0.23570226039551564,1.0,0.9869639277458191,1.0,0.9655042290687561,0.9870571494102478,0.012617266390983211,Consensus
cert,1.0,0.7,0.3,0.28674417556808773,1.0,0.9955635070800781,1.0,0.9913305044174194,0.9938653111457825,0.0034186634053024675,Consensus
cert,1.0,1.0,0.7,0.14142135623730917,1.0,0.9992719888687134,1.0,0.9964391589164734,0.9938653111457825,0.0024130460038476803,Consensus
cert,1.0,1.0,0.0,0.4714045207910317,1.0,0.8871851563453674,0.8799999952316284,0.8838991522789001,0.9922692775726318,0.05518519263002376,Consensus
cert,1.0,0.7,0.7,0.14142135623730995,0.9333333373069763,0.9280281662940979,0.7699999809265137,0.9112910628318787,0.9832278490066528,0.07171763856663352,Consensus
