system:index,ARVI,ARVI_INTP,B,CMRI,CMRI_INTP,CVI,CVI_INTP,EVI_INTP,EVI_RMSE,G,GLI,GLI_INTP,IPVI,IPVI_INTP,MCARI1,MCARI1_INTP,MCARI2,MCARI2_INTP,N,NDTI,NDTI_INTP,NDVI,NDVI_INTP,NDWI,NDWI_INTP,NLI,NLI_INTP,N_INTP,OSAVI,OSAVI_INTP,R,R_INTP,TDVI,TDVI_INTP,TVI,TVI_INTP,TriVI,TriVI_INTP,WDRVI,WDRVI_INTP,cloudy_B,cloudy_G,cloudy_N,cloudy_R,landcover,latitude,longitude,.geo
1_00000000000000000177_0,0.7363388,0.672744,0.0386,1.3131992,1.1739424,2.799808714187964,2.5831878,2.2231631,0.46595386,0.0627,0.2098408104196816,0.17316556,0.8544538,0.81556636,3339.6,2891.0083,0.8211845335464703,0.76209974,0.25420000000000004,-0.18301886,-0.13877848,0.70890754,0.6311327,-0.60429156,-0.5428097,0.999866,0.99980724,0.23768333,0.7088694389545437,0.63109756,0.043300000000000005,0.054679167,1.2444507830704645,1.1569434,1.0995033256089815,1.0629864,134300.0,115505.125,-0.26018626309662396,-0.3755576,0.0664,0.0826,0.255,0.0719,mangrove,22.0426563342973,89.40825711719289,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000178_0,0.76492536,0.73488003,0.0315,1.302944,1.2599901,2.76416255982528,2.6384318,2.0772924,0.25452557,0.059300000000000005,0.2405857740585774,0.22382276,0.8519452,0.8413088,3097.68,3180.4634,0.8187104778111417,0.8069891,0.23650000000000002,-0.1812749,-0.17553775,0.7038905,0.6826176,-0.59905344,-0.57737255,0.9998531,0.9998417,0.24632083,0.7038499221946862,0.68257946,0.041100000000000005,0.046354167,1.2392778805189724,1.2159708,1.0972194356251372,1.087322,124520.0,130010.7,-0.2694980694980695,-0.3021663,0.0654,0.0911,0.2706,0.075,mangrove,22.112541910831787,89.09755438442322,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000179_0,0.74670845,0.7536519,0.040400000000000005,1.357486,1.3407652,2.9133209110936424,2.7908304,2.3423855,0.30981153,0.06420000000000001,0.21189240207645116,0.23783389,0.86602426,0.8628584,3720.3599999999997,3856.0215,0.8346840538049929,0.8321148,0.2786,-0.19664492,-0.21097076,0.7320485,0.7257169,-0.62543756,-0.6150484,0.99988896,0.99988127,0.27886668,0.7320120851931518,0.72568053,0.0431,0.044266667,1.26791163435198,1.2583665,1.1099767981287756,1.10662,149740.0,158525.48,-0.21476888387824122,-0.20485932,0.0234,0.0477,0.25730000000000003,0.031,mangrove,21.896499983230246,89.86944778231498,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000017a_0,0.8337994,0.76858836,0.020800000000000003,1.4621266,1.3675672,3.0988171635841835,3.1571164,2.2306983,0.18989147,0.0448,0.30327272727272725,0.22189842,0.89438814,0.8656128,3190.68,3464.5403,0.8690145296151057,0.8244344,0.2295,-0.24617524,-0.18191424,0.7887763,0.73122567,-0.67335033,-0.6363415,0.9998971,0.99987394,0.25409582,0.7887271253546155,0.73118514,0.027100000000000003,0.039341666,1.3228417230884957,1.2655107,1.1352428398954582,1.1093601,128520.0,141830.62,-0.08291708291708291,-0.20636657,0.029900000000000003,0.051300000000000005,0.24930000000000002,0.0409,mangrove,22.261528550069198,89.76810838595581,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000017c_0,0.7747314,0.73305374,0.0304,1.3740338,1.2885685,3.1976780045351476,2.901201,2.1856678,0.1913959,0.052500000000000005,0.21951219512195122,0.20283197,0.86681145,0.8456625,3163.7999999999997,3012.8574,0.8257107653064936,0.802838,0.23950000000000002,-0.17581187,-0.16278227,0.73362285,0.69132495,-0.64041096,-0.59724355,0.9998717,0.99984074,0.2344375,0.7335803934625574,0.6912847,0.0368,0.042775,1.2694790560083766,1.2244424,1.1106857673023547,1.0912098,127900.0,125656.93,-0.21152263374485597,-0.28384924,0.0286,0.0487,0.2285,0.0397,mangrove,22.123299627940057,89.6144495803135,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000017e_0,0.7791234,0.7353256,0.0383,1.4072796,1.3099375,3.288616412051178,2.9315693,2.2858834,0.17427355,0.0641,0.21921065145030907,0.20457473,0.8756741,0.8514309,4128.36,3857.4365,0.8364442644460782,0.80909824,0.3085,-0.18813716,-0.17283192,0.75134826,0.7028618,-0.6559313,-0.6070757,0.999908,0.99987113,0.28672084,0.7513141611507851,0.7028283,0.0438,0.0492875,1.287004387049621,1.2350962,1.1186367966027204,1.0962757,166940.0,158637.16,-0.17347622237106497,-0.25719565,0.0658,0.0845,0.2046,0.07680000000000001,mangrove,22.069423418050413,89.4958417794162,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000017f_0,0.7165404,0.70071274,0.0449,1.2894524,1.2354319,2.762883420892079,2.6012201,2.3148293,0.17253901,0.0693,0.19328454584588894,0.1960954,0.84783286,0.83460224,3532.4399999999996,3331.7146,0.8120536521548539,0.79786,0.27190000000000003,-0.1735817,-0.16784965,0.6956657,0.6692045,-0.59378666,-0.56622744,0.999868,0.9998447,0.26104584,0.6956310255802642,0.66917014,0.0488,0.051391665,1.230742715409615,1.201324,1.09346501142605,1.0810884,142060.0,134952.08,-0.2843795236215291,-0.32301903,0.043300000000000005,0.0665,0.2973,0.046200000000000005,mangrove,21.833429185857838,89.29976183111195,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000180_0,0.7998713,0.7374289,0.031100000000000003,1.4319664,1.2871598,3.5802766628009186,2.8613136,2.1235747,0.18454228,0.054700000000000006,0.22371364653243847,0.21442994,0.87955976,0.845834,3732.0,3186.037,0.834002446841018,0.80190337,0.2797,-0.17634408,-0.17017537,0.7591195,0.69166803,-0.6728469,-0.59549177,0.99990207,0.99984133,0.247225,0.759081304085329,0.69162965,0.0383,0.04469583,1.294569628564928,1.2213566,1.1221049402151948,1.0908632,151400.0,129800.19,-0.1558774709521654,-0.27359164,0.0362,0.056900000000000006,0.2419,0.039900000000000005,mangrove,21.940664746002625,89.64988623180996,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000181_0,0.7921892,0.75812066,0.029,1.4072175,1.3554361,3.08061943752225,3.009412,1.7161056,2.9599702,0.053000000000000005,0.25,0.22430745,0.8784686,0.8639703,3390.24,3436.4585,0.847304228893264,0.8263083,0.2501,-0.21004567,-0.19126952,0.75693715,0.72794056,-0.6502804,-0.62749547,0.9998894,0.99986905,0.25942916,0.7568945896963992,0.7279001,0.0346,0.041045833,1.2924472093005108,1.2616427,1.1211320737540873,1.1077901,136660.0,138518.3,-0.1608790471397416,-0.20975222,0.0539,0.081,0.3335,0.0626,mangrove,22.461092408981912,89.48705760341045,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000183_0,0.73328614,0.6883027,0.037700000000000004,1.3027681,1.2072786,2.954299621416982,2.63021,2.2324727,0.24144125,0.060200000000000004,0.19326065411298315,0.18285175,0.8486318,0.8253939,3156.12,2872.9924,0.8052130606229324,0.7795902,0.24500000000000002,-0.15880655,-0.1508665,0.6972636,0.6507878,-0.6055046,-0.55649084,0.9998544,0.9998113,0.23045,0.697224954626692,0.65075016,0.0437,0.048795834,1.2324040677255028,1.1799766,1.0941954100743523,1.0723499,127380.0,117945.07,-0.28152492668621704,-0.34883153,0.041800000000000004,0.0563,0.2494,0.0426,mangrove,22.0599721184998,89.4492213721271,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000184_0,0.78068537,0.7163707,0.0352,1.3779135,1.268449,3.0385361215306634,2.839076,2.2749884,0.3964063,0.06330000000000001,0.23874755381604695,0.19229604,0.87028015,0.84027934,3825.0,3439.3928,0.836539660475446,0.79484564,0.2858,-0.19546743,-0.15924872,0.7405603,0.6805587,-0.6373532,-0.58789027,0.9998957,0.999853,0.2669375,0.7405242131930235,0.6805243,0.0426,0.05062083,1.2763837521770909,1.2121158,1.1138044228348312,1.0861211,154200.0,144207.97,-0.19696543973026132,-0.29848054,0.0526,0.0718,0.19240000000000002,0.060700000000000004,mangrove,22.067954139859285,89.48722900196664,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000186_0,0.7177472,0.6513225,0.0431,1.2862797,1.1265155,3.092099622770919,2.5002134,2.1283636,0.24874899,0.0648,0.16651665166516652,0.16596262,0.8412444,0.80315506,3303.0,2782.3882,0.7871016366590836,0.74454826,0.26230000000000003,-0.13385826,-0.13041063,0.6824888,0.6063101,-0.6037909,-0.5202054,0.9998561,0.99977493,0.23117083,0.6824537547784592,0.6062763,0.0495,0.056079168,1.216883364043681,1.1264433,1.0874229972074698,1.0509566,133800.0,114686.07,-0.30727584840882083,-0.40560544,0.0697,0.0879,0.201,0.0792,mangrove,22.12639579288482,89.45672005896128,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000187_0,0.815997,0.7768804,0.0245,1.3846688,1.3614174,3.149431292517007,3.0768883,2.1320326,0.22637591,0.052500000000000005,0.26964933494558646,0.23579352,0.8707238,0.86480385,3223.9199999999996,3528.3362,0.8333971284378917,0.8259923,0.24180000000000001,-0.18778281,-0.18517727,0.7414476,0.72960776,-0.6432212,-0.63180965,0.9998772,0.999878,0.2616,0.7414048884471907,0.72956866,0.0359,0.041054167,1.2772560183719572,1.2640599,1.114202676953117,1.1086572,130180.0,146596.45,-0.19507323568575233,-0.21099955,0.027700000000000002,0.0533,0.2579,0.0357,mangrove,21.92516292433049,89.82004214848743,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000189_0,0.78282255,0.7291525,0.0287,1.3854892,1.2825811,3.1489003182432667,2.8740504,2.1839995,0.16421394,0.0511,0.23281061519903498,0.20067988,0.87097967,0.84389824,3142.7999999999997,3096.4924,0.8338091292704182,0.79928404,0.2356,-0.18837209,-0.16140759,0.74195933,0.6877965,-0.64352983,-0.5947846,0.99987423,0.9998452,0.2424875,0.7419154504724305,0.68775773,0.0349,0.045308333,1.2777611319934685,1.2201508,1.1144322924994678,1.0895061,126900.0,128363.05,-0.19397878891549772,-0.28846204,0.041,0.06470000000000001,0.2509,0.0492,mangrove,22.193899074727632,89.73832788681429,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000018a_0,0.7007442,0.64633435,0.038200000000000005,1.1788921,1.0860957,2.35670864090317,2.4542282,1.8896325,0.2930595,0.0658,0.2140221402214022,0.16080292,0.8220371,0.7908177,2742.72,2374.4758,0.7896787099007088,0.7215754,0.21710000000000002,-0.16666667,-0.11236706,0.6440742,0.5816353,-0.53481793,-0.50446033,0.99980056,0.99973583,0.2057375,0.6440351966560148,0.58159924,0.047,0.054541666,1.175206198800567,1.0994097,1.0696140492311983,1.0394815,109580.0,96111.984,-0.36806869451317126,-0.44413543,0.0502,0.075,0.21910000000000002,0.0608,mangrove,21.953661125273772,89.16551391196046,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000018b_0,0.7375428,0.6923565,0.0345,1.309188,1.2079012,2.9520933185924854,2.7420826,2.1425774,0.28350595,0.0557,0.1978494623655914,0.17609026,0.85065174,0.8232798,2954.88,2746.4321,0.8086680053436655,0.7698035,0.22840000000000002,-0.16283925,-0.13684374,0.70130354,0.6465596,-0.6078845,-0.56134164,0.9998463,0.99980026,0.22247083,0.7012617497653771,0.6465212,0.040100000000000004,0.047420833,1.2365986481757243,1.1753727,1.0960399345712941,1.070387,119220.0,111045.73,-0.2742294248490626,-0.35540605,0.053200000000000004,0.0688,0.23270000000000002,0.057100000000000005,mangrove,22.058860159361867,89.409971102755,"{""type"":""MultiPoint"",""coordinates"":[]}"
