_stratum,_cluster_id,score1,score2,score3,lon,lat,score_mean,score_std,n_interpreters,ref_label,prob_final,prob_bin
consensus,consensus_593,1.0,0.5,1.0,89.13345763442746,22.090447884446476,0.8333333333333334,0.28867513459481287,3,1,0.8560000061988831,0.7-1.0
consensus,consensus_594,1.0,1.0,1.0,89.80983767392489,22.01557413795488,1.0,0.0,3,1,0.9980000257492065,0.7-1.0
consensus,consensus_595,1.0,0.7,1.0,89.11702607869736,22.108548111485497,0.9,0.17320508075688776,3,1,0.9980000257492065,0.7-1.0
consensus,consensus_596,1.0,1.0,1.0,89.38063912985179,22.032267898087383,1.0,0.0,3,1,0.9980000257492065,0.7-1.0
consensus,consensus_597,1.0,1.0,1.0,89.78498803318878,21.94004439758555,1.0,0.0,3,1,0.9959999918937683,0.7-1.0
consensus,consensus_599,1.0,0.7,1.0,89.64933876965927,21.94629639625282,0.9,0.17320508075688776,3,1,1.0,0.7-1.0
disagreement,disagreement_205,0.0,0.3,0.3,89.38599268868633,22.294910065442263,0.19999999999999998,0.17320508075688773,3,0,0.30799999833106995,0.3-0.5
disagreement,disagreement_210,0.0,0.3,0.3,89.39716831513509,22.21187293760988,0.19999999999999998,0.17320508075688773,3,0,0.1679999977350235,0.0-0.3
disagreement,disagreement_216,0.7,0.3,0.3,89.88036234717434,22.13769140495956,0.43333333333333335,0.23094010767585027,3,0,0.4399999976158142,0.3-0.5
disagreement,disagreement_220,1.0,0.3,0.5,89.45502605232402,21.719456909027432,0.6,0.36055512754639896,3,1,0.4480000138282776,0.3-0.5
disagreement,disagreement_229,0.5,0.3,0.0,89.09981550920537,21.928405919577187,0.26666666666666666,0.2516611478423583,3,0,0.47600001096725464,0.3-0.5
disagreement,disagreement_231,1.0,0.3,0.5,89.10291595185615,21.957302378816905,0.6,0.36055512754639896,3,1,0.5059999823570251,0.5-0.7
disagreement,disagreement_236,0.3,0.3,0.5,89.05739161879342,22.085533774514488,0.3666666666666667,0.11547005383792516,3,0,0.5,0.5-0.7
disagreement,disagreement_237,0.3,0.3,0.5,89.05656428644711,22.086018576223978,0.3666666666666667,0.11547005383792516,3,0,0.5299999713897705,0.5-0.7
disagreement,disagreement_254,0.3,0.3,0.0,89.25736677344777,22.04817399203019,0.19999999999999998,0.17320508075688773,3,0,0.48399999737739563,0.3-0.5
disagreement,disagreement_278,0.7,0.5,0.7,89.23000271936388,22.194181282347014,0.6333333333333333,0.11547005383792512,3,1,0.4860000014305115,0.3-0.5
disagreement,disagreement_291,0.7,0.5,0.3,89.45309142357675,21.714840966588792,0.5,0.19999999999999998,3,1,0.3700000047683716,0.3-0.5
disagreement,disagreement_293,1.0,0.5,0.7,89.45861436449262,21.713743856404694,0.7333333333333334,0.2516611478423583,3,1,0.4339999854564667,0.3-0.5
disagreement,disagreement_304,0.5,0.5,0.5,89.05623404298888,22.10505716537173,0.5,0.0,3,1,0.4699999988079071,0.3-0.5
